id;nome;nome_provincia;sigla_provincia
1;Zimbabwe;Architect synergize workforce;Investment Account Business-focused
2;Web Estate systems;visionary info-mediaries programming;Vatu Reactive Codes specifically reserved for testing purposes
3;Regional Tasty Plastic Shirt Administrator;Synchronised Kansas deposit;CSS Danish Krone
4;clear-thinking microchip;Concrete;Licensed Soft Mouse solution
5;array;Future-proofed Parks;ADP New Hampshire
6;mission-critical FTP Marketing;Industrial overriding port;Borders Refined Rubber Pizza Lock
7;frictionless;Infrastructure Metal;back up
8;Compatible Borders violet;driver Configuration;compressing frictionless
9;matrix Intelligent;Kuwait Borders Grocery;Fresh wireless
10;Kuwaiti Dinar;Home Loan Account Grocery parallelism;Investment Account
