id;cv;size;url_allegato;mime_type;note;attach_id;anagrafica_id
1;compressing;27220;Small Assistant;Kwanza auxiliary;Awesome Granite Sausages;1;1
2;Branch compelling;92088;Michigan Indian Rupee Ngultrum;quantifying Incredible Fresh Shirt;Car installation Reduced;2;2
3;Bedfordshire Applications;23164;Djibouti Practical neural-net;efficient USB bypass;driver Persistent Savings Account;3;3
4;Rustic;96821;Tenge;Steel Mexico SMTP;payment bypassing Computers;4;4
5;digital;33909;azure 24/365 Cambridgeshire;system fuchsia;Generic Cotton Chicken Vietnam;5;5
6;Principal markets;14891;interface;Engineer Books;ROI Sleek;6;6
7;Salad deposit;31219;Tasty Soft Gloves;Florida ROI;China dynamic Soap;7;7
8;e-markets Sao Tome and Principe;72517;synthesize withdrawal action-items;applications Israel;Fresh Small Cotton Keyboard Central;8;8
9;Michigan Awesome;22963;viral;Consultant;HDD Tasty Plastic Bacon;9;9
10;navigating online;91121;IB Executive Florida;enhance bypass Administrator;access Syrian Arab Republic;10;10
